sha,date,exact,subject,src_files,test_files,n_run_lines,entry_tools,langs,reducibility
0fbfd5858034,2026-06-24,1,[FIRRTL][Inliner] Fix n^2/crash when cloning anno to multiple tops. (#10721),lib/Dialect/FIRRTL/Transforms/ModuleInliner.cpp,test/Dialect/FIRRTL/inliner.mlir,1,circt-opt,.mlir,direct
23abfba6006b,2026-06-23,1,[DCToHW] Fix invalid ESI connections from Unpack(pack()) (#10649),include/circt/Dialect/DC/DCOps.td;lib/Dialect/DC/DCOps.cpp,test/Conversion/DCToHW/basic.mlir;test/Dialect/DC/canonicalization.mlir,2,circt-opt,.mlir,direct
2aaa416d740d,2026-06-20,1,[FIRRTL] Fix when flattening with layerblocks domination issue (#10650),lib/Dialect/FIRRTL/Transforms/ExpandWhens.cpp,test/Dialect/FIRRTL/expand-whens.mlir,1,circt-opt,.mlir,direct
3f65acfd617b,2026-06-17,1,[FIRRTLToHW] Fix firrtl enum lowering (#10648),lib/Conversion/FIRRTLToHW/LowerToHW.cpp,test/Conversion/FIRRTLToHW/lower-to-hw.mlir,1,circt-opt,.mlir,direct
97129392af7a,2026-06-11,1,[ImportVerilog] Fix bit-vector builtins rejecting packed non-integer types (#10615),lib/Conversion/ImportVerilog/Expressions.cpp,test/Conversion/ImportVerilog/builtins.sv,2,circt-translate;circt-verilog,.sv,lift-circt-verilog
ce945f02fde1,2026-06-07,1,[CombToSynth] Assertion failure in CompressorTree construction for comb.mul lowering (#10598),lib/Dialect/Datapath/DatapathOps.cpp,test/Conversion/CombToSynth/comb-to-aig-arith.mlir,3,circt-opt,.mlir,direct
6a3a01e41523,2026-06-05,1,[FIRRTL] InferDomains: Fix domain casting for constants,lib/Dialect/FIRRTL/Transforms/InferDomains.cpp,test/Dialect/FIRRTL/infer-domains-infer-all.mlir,1,circt-opt,.mlir,direct
b645b96686fa,2026-06-04,1,[LLHD] Fix incorrect mux generation in remove-control-flow (#10566),lib/Dialect/LLHD/Transforms/RemoveControlFlow.cpp,test/Dialect/LLHD/Transforms/remove-control-flow.mlir,1,circt-opt,.mlir,direct
38227a822425,2026-05-27,1,[Synth] Fix NPN input permutation mapping (#10543),lib/Support/TruthTable.cpp,integration_test/circt-synth/mapping-lec.mlir;test/Dialect/Synth/tech-mapper.mlir,10,circt-lec;circt-opt;circt-synth;other,.mlir,direct
4ed926c3c177,2026-05-23,1,[OM] Fix IntegerShlOp evaluation to allow arbitrary bitwidth (#10533),lib/Dialect/OM/OMOps.cpp,test/Dialect/OM/canonicalizers.mlir;test/Dialect/OM/elaborate-object.mlir,4,circt-opt,.mlir,direct
20309db8b207,2026-05-22,1,"[FIRRTL] Fix mux fold bug, 1 const, 2 SSA values (#10529)",lib/Dialect/FIRRTL/FIRRTLFolds.cpp,test/Dialect/FIRRTL/canonicalization.mlir,1,circt-opt,.mlir,direct
793d63912b43,2026-05-20,1,[ImportVerilog] Fix unpacked string array initialization with concatenation (#10511),lib/Conversion/ImportVerilog/Expressions.cpp,test/Conversion/ImportVerilog/basic.sv,2,circt-translate;circt-verilog,.sv,lift-circt-verilog
be870d5d5d54,2026-05-15,1,"Revert ""[ImportVerilog] Fix several bugs in the handling of arrays (#10444)"" (#10478)",lib/Conversion/ImportVerilog/Expressions.cpp,test/Conversion/ImportVerilog/basic.sv,2,circt-translate;circt-verilog,.sv,lift-circt-verilog
3daad646aa92,2026-05-13,1,[ImportVerilog] Fix several bugs in the handling of arrays (#10444),lib/Conversion/ImportVerilog/Expressions.cpp,test/Conversion/ImportVerilog/array.sv;test/Conversion/ImportVerilog/basic.sv,3,circt-translate;circt-verilog,.sv,lift-circt-verilog
2cdbf0d17111,2026-04-30,1,[LLHD] Run Mem2Reg per slot to fix cubic scaling (#10321),lib/Dialect/LLHD/Transforms/Mem2Reg.cpp,test/Dialect/LLHD/Transforms/mem2reg-scaling.mlir;test/Dialect/LLHD/Transforms/mem2reg-scaling.py;test/Dialect/LLHD/Transforms/mem2reg.mlir,9,circt-opt;other,.mlir;other:.py,direct;textual-only
bcc1685cdd20,2026-04-21,1,[LLHD] Run Mem2Reg per slot to fix cubic scaling (#10263),lib/Dialect/LLHD/Transforms/Mem2Reg.cpp,test/Dialect/LLHD/Transforms/mem2reg-scaling.mlir;test/Dialect/LLHD/Transforms/mem2reg-scaling.py;test/Dialect/LLHD/Transforms/mem2reg.mlir,9,circt-opt;other,.mlir;other:.py,direct;textual-only
681992b3a872,2026-04-17,1,[SeqToSV] Fix illegal IR in clock-typed register (#10260),lib/Conversion/SeqToSV/FirRegLowering.cpp,test/Dialect/Seq/firreg.mlir,3,circt-opt,.mlir,direct
6a2571d0a6c4,2026-04-16,1,[Synth][FunctionalReduction] Fix a SSA cycle (#10137),lib/Dialect/Synth/Transforms/FunctionalReduction.cpp,test/Dialect/Synth/functional-reduction.mlir,1,circt-opt,.mlir,direct
02bb5593a1fc,2026-04-14,1,Replace array constants with map by block to fix constant defined outside of IsolatedAbove region (#10210),lib/Dialect/Synth/Transforms/LowerWordToBits.cpp,test/Dialect/Synth/lower-word-to-bits.mlir,1,circt-opt,.mlir,direct
1ccf9cf310cb,2026-04-09,1,[OM] Add property assert operation,include/circt/Dialect/OM/OMOps.td,test/Dialect/OM/round-trip.mlir,1,circt-opt,.mlir,direct
a4a4f74118eb,2026-04-06,1,[FIRRTL] InferDomains: Fix wire updating,lib/Dialect/FIRRTL/Transforms/InferDomains.cpp,test/Dialect/FIRRTL/infer-domains-infer-all.mlir,1,circt-opt,.mlir,direct
2867b37b5415,2026-04-06,1,[FIRRTL] Fix mask repeat order in FlattenMemory (#10106),lib/Dialect/FIRRTL/Transforms/FlattenMemory.cpp,test/Dialect/FIRRTL/flatten-memory.mlir;test/firtool/memoryLowering.fir,2,circt-opt;firtool,.fir;.mlir,direct;lift-firtool
4df5007fbcf2,2026-03-30,1,[FIRRTL] Fix LowerClasses Objects not InstanceLike (#10081),lib/Dialect/FIRRTL/Transforms/LowerClasses.cpp,test/Dialect/FIRRTL/lower-classes.mlir,1,circt-opt,.mlir,direct
738d5e09880f,2026-03-30,1,"[Synth][ResourceUsage] Fix misuse of InstanceGraphNode::getModule, report truth table total count (#10078)",lib/Dialect/Synth/Analysis/ResourceUsageAnalysis.cpp,test/Dialect/Synth/resource.mlir,3,circt-opt,.mlir,direct
b15ee99dbe58,2026-03-27,1,[ImportVerilog] Fix signal captures in timing controls (#10067),lib/Conversion/ImportVerilog/ImportVerilogInternals.h;lib/Conversion/ImportVerilog/TimingControls.cpp,test/Conversion/ImportVerilog/basic.sv,2,circt-translate;circt-verilog,.sv,lift-circt-verilog
838a8bb29106,2026-03-27,1,[NFC][CoreToFSM] Fix typo in error message (#10063),lib/Conversion/CoreToFSM/CoreToFSM.cpp,test/Conversion/CoreToFSM/errors.mlir,1,circt-opt,.mlir,direct
c9b4ed95782c,2026-03-27,1,[FIRParser] Fix a failure when the number of operands are missing on format string (#10044),lib/Dialect/FIRRTL/FIRRTLUtils.cpp,test/Dialect/FIRRTL/parse-errors.fir,1,circt-translate,.fir,lift-firtool
c14279dcbf73,2026-03-26,1,[circt-reduce] Fix module-port-pruner crash on ports with uses (#10040),lib/Dialect/FIRRTL/FIRRTLReductions.cpp,test/Dialect/FIRRTL/Reduction/module-port-pruner.mlir,1,circt-reduce,.mlir,direct
60a9ebf59100,2026-03-24,1,[FIRRTL] Fix use-before-def in InferDomains (#10029),lib/Dialect/FIRRTL/Transforms/InferDomains.cpp,test/Dialect/FIRRTL/infer-domains-infer-all.mlir;test/Dialect/FIRRTL/infer-domains-infer.mlir,2,circt-opt,.mlir,direct
c80cfb9e2967,2026-03-24,1,[FIRRTL][LOA] Fix bug dropping inner symbol within mapped type. (#10026),lib/Dialect/FIRRTL/Transforms/LowerOpenAggs.cpp,test/Dialect/FIRRTL/lower-open-aggs.mlir,1,circt-opt,.mlir,direct
88d9a5ad7a3a,2026-03-22,1,[InstanceGraph] Relax assertion failure condition (#10005),lib/Support/InstanceGraph.cpp,test/Dialect/SV/sv-trace-iverilog-errors.mlir,1,circt-opt,.mlir,direct
b59eca8f1e7b,2026-03-22,1,[HW] Fix crash on self-referential hw.wire canonicalize,lib/Dialect/HW/HWOps.cpp,test/Dialect/HW/canonicalization.mlir,1,circt-opt,.mlir,direct
72acea92c1d1,2026-03-22,1,[Moore] Fix crash on self-referential AssignedVariableOp canonicalize,lib/Dialect/Moore/MooreOps.cpp,test/Dialect/Moore/canonicalizers.mlir,1,circt-opt,.mlir,direct
1625085798f3,2026-03-22,1,[ImportVerilog] Fix crash on instance with unconvertible port values,lib/Conversion/ImportVerilog/Structure.cpp,test/Conversion/ImportVerilog/errors.sv,1,circt-translate,.sv,lift-circt-verilog
9445def95048,2026-03-22,1,[ImportVerilog] Fix crash on array new with unsupported size expr,lib/Conversion/ImportVerilog/Expressions.cpp,test/Conversion/ImportVerilog/errors.sv,1,circt-translate,.sv,lift-circt-verilog
b19078499420,2026-03-22,1,[MooreToCore] Fix queue pop conversions bypassing rewriter,lib/Conversion/MooreToCore/MooreToCore.cpp,test/Conversion/MooreToCore/basic.mlir,1,circt-opt,.mlir,direct
c3e2100d37ca,2026-03-21,1,[MooreToCore] Fix crash on class new with unsupported member types (#10001),lib/Conversion/MooreToCore/MooreToCore.cpp,test/Conversion/MooreToCore/errors.mlir,1,circt-opt,.mlir,direct
b3b407b37bb2,2026-03-21,1,[MooreToCore] Fix crash on dynamic array variable conversion (#9996),lib/Conversion/MooreToCore/MooreToCore.cpp,test/Conversion/MooreToCore/errors.mlir,1,circt-opt,.mlir,direct
3ef31bc4848a,2026-03-21,1,[ImportVerilog] Fix crash on continuous assign with rise/fall delay (#9994),lib/Conversion/ImportVerilog/Structure.cpp,test/Conversion/ImportVerilog/errors.sv,1,circt-translate,.sv,lift-circt-verilog
d636fb5d3f01,2026-03-21,1,[ImportVerilog] Fix crash on repeat loop with real count (#9992),lib/Conversion/ImportVerilog/Statements.cpp,test/Conversion/ImportVerilog/basic.sv,2,circt-translate;circt-verilog,.sv,lift-circt-verilog
564e07083c52,2026-03-21,1,[Sim] Fix null dereference in StringConcatOp::fold (#9990),lib/Dialect/Sim/SimOps.cpp,test/Dialect/Sim/dynamic-strings.mlir,1,circt-opt,.mlir,direct
246aa011e7b9,2026-03-20,1,[ImportVerilog] Fix crash on enum traversal methods (#9988),lib/Conversion/ImportVerilog/Expressions.cpp,test/Conversion/ImportVerilog/errors.sv,1,circt-translate,.sv,lift-circt-verilog
337c72727242,2026-03-19,1,[ExportVerilog] Fix missing error propagation (#9976),lib/Conversion/ExportVerilog/ExportVerilog.cpp,test/Conversion/ExportVerilog/verilog-errors-prop.mlir,6,circt-opt;other,.mlir,direct
a069e06e7cb9,2026-03-17,1,[ImportVerilog] Fix moore.conversion legalization failure on interface ports (#9927),lib/Conversion/ImportVerilog/Structure.cpp,test/Conversion/ImportVerilog/basic.sv,2,circt-translate;circt-verilog,.sv,lift-circt-verilog
1dfc471304be,2026-03-16,1,[ImportVerilog] Fix a fork-join stmt bug (#9951),lib/Conversion/ImportVerilog/Statements.cpp,test/Conversion/ImportVerilog/basic.sv,2,circt-translate;circt-verilog,.sv,lift-circt-verilog
e915a39ed63d,2026-03-16,1,[CoreToFSM] Fix concat-in-mux losing possible state values (#9952),lib/Conversion/CoreToFSM/CoreToFSM.cpp,test/Conversion/CoreToFSM/concat-mux.mlir,1,circt-opt,.mlir,direct
b6dea0f9d436,2026-03-16,1,[CoreToFSM] Fix guard-constant folding replacing fsm.update variable operand (#9950),lib/Conversion/CoreToFSM/CoreToFSM.cpp,test/Conversion/CoreToFSM/action-guard-simplify.mlir,1,circt-opt,.mlir,direct
d0cb91fbd7cc,2026-03-12,0,[ImportVerilog] Fix a segmentation fault (#9894),lib/Dialect/Moore/Transforms/CreateVTables.cpp,test/Conversion/ImportVerilog/basic.sv,2,circt-translate;circt-verilog,.sv,lift-circt-verilog
10ca02433451,2026-03-11,0,[CoreToFSM] Fix infinite loop in GuardConditionFoldPattern on constants (#9905),lib/Conversion/CoreToFSM/CoreToFSM.cpp,test/Conversion/CoreToFSM/action-guard-simplify.mlir,1,circt-opt,.mlir,direct
a0ce24f53157,2026-03-11,0,[CoreToFSM] Fix crash on regs without resets (#9899),lib/Conversion/CoreToFSM/CoreToFSM.cpp,test/Conversion/CoreToFSM/basic.mlir;test/Conversion/CoreToFSM/errors.mlir,2,circt-opt,.mlir,direct
01c8443a464c,2026-03-11,0,[ImportVerilog] Support for `disable iff` in a clocked assertion (#9875),lib/Conversion/ImportVerilog/Statements.cpp,test/Conversion/ImportVerilog/basic.sv,2,circt-translate;circt-verilog,.sv,lift-circt-verilog
fb5d04cc5ab8,2026-03-10,1,[FSMToSMT] fix initial state management (#9893),lib/Conversion/FSMToSMT/FSMToSMT.cpp,test/Conversion/FSMToSMT/diff_init_state.mlir,1,circt-opt,.mlir,direct
33c4c09aebdd,2026-03-10,1,[Seq][RegOfVecToMem] Fix invalid address type for single element memories (#9827),lib/Dialect/Seq/Transforms/RegOfVecToMem.cpp,test/Dialect/Seq/reg-of-vec-to-mem.mlir,1,circt-opt,.mlir,direct
a3e42c4e87c4,2026-03-06,1,[ImportVerilog] Fix crash when using `$` in queue range selection (#9779),lib/Conversion/ImportVerilog/Expressions.cpp,test/Conversion/ImportVerilog/basic.sv,2,circt-translate;circt-verilog,.sv,lift-circt-verilog
f6d9f05b820f,2026-03-05,1,[SOPBalancing] Fix non-determinism from duplicated value numbering (#9836),lib/Dialect/Synth/Transforms/SOPBalancing.cpp,test/Dialect/Synth/sop-balancing.mlir,1,circt-opt,.mlir,direct
ca876e0b68d2,2026-03-04,1,[FIRRTL][Inliner] Fix NLA updates during flattening (#9810),lib/Dialect/FIRRTL/Transforms/ModuleInliner.cpp,test/Dialect/FIRRTL/inliner.mlir,1,circt-opt,.mlir,direct
016f7c0a1e22,2026-03-03,1,[HWToBTOR2][NFC] Fix typo in multi-clock error (#9819),lib/Conversion/HWToBTOR2/HWToBTOR2.cpp,test/Conversion/HWToBTOR2/errors.mlir,1,circt-opt,.mlir,direct
115a3111e2ce,2026-03-02,1,[RTG][Elaboration] Fix getUniformInRange (#9806),lib/Dialect/RTG/Transforms/ElaborationPass.cpp,test/Dialect/RTG/Transform/elaboration.mlir,1,circt-opt,.mlir,direct
11cc66244ceb,2026-02-26,1,[Datapath] Bug Fix for Sign-Extension Logic when Lowering Partial Products to Booth Arrays (#9726) (#9744),lib/Conversion/DatapathToComb/DatapathToComb.cpp,test/Conversion/DatapathToComb/datapath-to-comb.mlir,4,circt-opt,.mlir,direct
a0ddbccf04f5,2026-02-26,1,[FIRRTL] Fix domain info updates in cloneWithInsertedPorts (#9758),lib/Dialect/FIRRTL/FIRRTLOps.cpp,test/Dialect/FIRRTL/lower-open-aggs.mlir,1,circt-opt,.mlir,direct
c1ef24514cea,2026-02-23,1,[Comb] Fix SextMatcher crash on block arguments,include/circt/Dialect/Comb/CombOps.h,test/Dialect/Comb/canonicalization.mlir,1,circt-opt,.mlir,direct
0e9f82038b32,2026-02-22,1,[FIRRTL][LowerLayers] Fix instance input port capture,lib/Dialect/FIRRTL/Transforms/LowerLayers.cpp,test/Dialect/FIRRTL/lower-layers.mlir,1,circt-opt,.mlir,direct
73e28e09a3b5,2026-02-21,1,[CalyxToHW] Fix missing i1-to-clock conversion in convertPipelineOp (#9715),lib/Conversion/CalyxToHW/CalyxToHW.cpp,test/Conversion/CalyxToHW/pipeline-clock.mlir,1,circt-opt,.mlir,direct
b2ab3aff00ca,2026-02-19,1,[FIRRTL] Dedup: fix non-deduplicatable public module handling (#9702),lib/Dialect/FIRRTL/Transforms/Dedup.cpp,test/Dialect/FIRRTL/dedup.mlir,1,circt-opt,.mlir,direct
10fbfc9b17ac,2026-02-19,1,[FIRRTL][Reduce] Fix module-port-pruner crash with probe ports (#9694),lib/Dialect/FIRRTL/FIRRTLReductions.cpp,test/Dialect/FIRRTL/Reduction/module-port-pruner-probe.mlir,1,circt-reduce,.mlir,direct
3b30c823b829,2026-02-14,1,[HandshakeToHW] Fix crashes when multiple `sync`s with different numbers of `none` inputs are used (#9587),lib/Conversion/HandshakeToHW/HandshakeToHW.cpp,test/Conversion/HandshakeToHW/test_buffer.mlir;test/Conversion/HandshakeToHW/test_cmerge.mlir;test/Conversion/HandshakeToHW/test_cond_br.mlir;test/Conversion/HandshakeToHW/test_constant.mlir;test/Conversion/HandshakeToHW/test_fork.mlir;test/Conversion/HandshakeToHW/test_join.mlir;test/Conversion/HandshakeToHW/test_simple_loop.mlir;test/Conversion/HandshakeToHW/test_source.mlir;test/Conversion/HandshakeToHW/test_sync.mlir,9,circt-opt,.mlir,direct
f9b8bd46511d,2026-02-09,1,[HW] Fix ArrayCreateOp verifier to support typealiases and add optional result type syntax (#9639),include/circt/Dialect/HW/HWAggregates.td;lib/Dialect/HW/HWOps.cpp,test/Dialect/HW/typedecls.mlir,1,circt-opt,.mlir,direct
ef82ef1b1e33,2026-02-03,1,[FIRRTL] Fix canonicalizer infinite loop with const types (#9595),include/circt/Dialect/FIRRTL/FIRRTLCanonicalization.td,test/Dialect/FIRRTL/canonicalization.mlir,1,circt-opt,.mlir,direct
db9b1154c414,2026-02-02,1,[circt-reduce] Fix firrtl-remove-unused-ports crash with probes,lib/Dialect/FIRRTL/Transforms/RemoveUnusedPorts.cpp,test/Dialect/FIRRTL/remove-unused-ports.mlir,1,circt-opt,.mlir,direct
010d18b95ff2,2026-02-02,1,[circt-reduce] Fix extmodule-instance-remover crash with strings,lib/Dialect/FIRRTL/FIRRTLReductions.cpp,test/Dialect/FIRRTL/Reduction/extmodule-instance-remover.mlir,1,circt-reduce,.mlir,direct
0de87ef355e6,2026-02-02,1,[circt-reduce] Fix instance-stubber: ref/property,lib/Dialect/FIRRTL/FIRRTLReductions.cpp,test/Dialect/FIRRTL/Reduction/instance-stubber.mlir,1,circt-reduce,.mlir,direct
b7d165dedca7,2026-02-02,1,[circt-reduce] Fix module-name-sanitizer crash with objects (#9584),lib/Dialect/FIRRTL/FIRRTLReductions.cpp,test/circt-reduce/name-sanitizer.mlir,1,circt-reduce,.mlir,direct
d3c93988fd68,2026-02-02,1,[circt-reduce] Fix connect-forwarder crash with layerblocks (#9581),lib/Dialect/FIRRTL/FIRRTLReductions.cpp,test/Dialect/FIRRTL/Reduction/connect-forwarder.mlir,1,circt-reduce,.mlir,direct
e36f5695723e,2026-01-30,1,[FIRRTL] Fix canonicalizer crash on non-IntType inputs to cast patterns (#9550),include/circt/Dialect/FIRRTL/FIRRTLCanonicalization.td,test/Dialect/FIRRTL/canonicalization.mlir,1,circt-opt,.mlir,direct
db50d3131cec,2026-01-30,1,[LLHD] Fix mem2reg to capture all live values across wait ops (#9552),lib/Dialect/LLHD/Transforms/Mem2Reg.cpp,test/Dialect/LLHD/Transforms/mem2reg.mlir,1,circt-opt,.mlir,direct
89778e1bebd3,2026-01-30,1,[ImportVerilog] Fix silent failure on unsupported system calls (#9556),lib/Conversion/ImportVerilog/Expressions.cpp,test/Conversion/ImportVerilog/errors.sv,1,circt-translate,.sv,lift-circt-verilog
2fdae8fcfef5,2026-01-30,1,[ArcRuntime][VCDTrace] Fix final time step on empty trace buffer (#9554),include/circt/Dialect/Arc/Runtime/TraceEncoder.h;lib/Dialect/Arc/Runtime/VCDTraceEncoder.cpp,integration_test/arcilator/JIT/runtime-vcd-nochange.mlir,1,arcilator,.mlir,direct
3086bac387d1,2026-01-29,0,[ImportVerilog] Swap assertion calls to to_builtin_int (#9543),lib/Conversion/ImportVerilog/AssertionExpr.cpp,test/Conversion/ImportVerilog/builtins.sv;test/Conversion/ImportVerilog/errors.sv,3,circt-translate;circt-verilog,.sv,lift-circt-verilog
b476431e74ec,2026-01-29,0,[Synth][LongestPathAnalysis] Fix an incorrect instanch path (#9536),include/circt/Dialect/Synth/Analysis/LongestPathAnalysis.h;lib/Dialect/Synth/Analysis/LongestPathAnalysis.cpp,test/Dialect/Synth/longest-paths.mlir,1,circt-opt,.mlir,direct
4c4a16553aa3,2026-01-26,0,[ImportVerilog] Fix class method prototype resolution (#9508),lib/Conversion/ImportVerilog/Structure.cpp,test/Conversion/ImportVerilog/classes.sv,2,circt-translate;circt-verilog,.sv,lift-circt-verilog
142c02c65dca,2026-01-24,0,[FIRRTL] Fix LowerDomains for multi-use wires,lib/Dialect/FIRRTL/Transforms/LowerDomains.cpp,test/Dialect/FIRRTL/lower-domains.mlir,1,circt-opt,.mlir,direct
380a44a69243,2026-01-17,0,[FIRRTL][InferResets] Fix reset domain inference for multiple top-level modules (#9464),lib/Dialect/FIRRTL/Transforms/InferResets.cpp,test/Dialect/FIRRTL/infer-resets-errors.mlir;test/Dialect/FIRRTL/infer-resets.mlir,2,circt-opt,.mlir,direct
242b4a2959dc,2026-01-12,1,[LLHD] Fix multiply-driven signals being hoisted incorrectly (#9421),lib/Dialect/LLHD/Transforms/HoistSignals.cpp,test/Dialect/LLHD/Transforms/hoist-signals.mlir,1,circt-opt,.mlir,direct
9fe788f13100,2026-01-06,1,Fix isSeqMem() check to allow externalization of memories with read-/write-latency >= 1 (#9419),include/circt/Dialect/FIRRTL/FIRRTLOps.h,test/Dialect/FIRRTL/lower-memory.mlir,1,circt-opt,.mlir,direct
b79ae60f6c43,2025-12-29,1,[FIRRTL] Fix LowerSignatures to work with Domains,lib/Dialect/FIRRTL/Transforms/LowerSignatures.cpp,test/Dialect/FIRRTL/lower-signatures.mlir,2,circt-opt,.mlir,direct
db06bf66d7f6,2025-12-27,1,[FIRRTL] Fix LowerTypes so it works with Domains,lib/Dialect/FIRRTL/Transforms/LowerTypes.cpp,test/Dialect/FIRRTL/lower-types.mlir,3,circt-opt,.mlir,direct
a0f3eb4086bc,2025-12-16,1,[LLHD] Fix HoistSignals with non-uniform drive delays (#9349),lib/Dialect/LLHD/Transforms/HoistSignals.cpp,test/Dialect/LLHD/Transforms/hoist-signals.mlir,1,circt-opt,.mlir,direct
394cc2beb238,2025-12-15,1,[ESI][Runtime] Fix integration test,lib/Dialect/ESI/runtime/python/esiaccel/esiCppAccel.cpp,integration_test/Dialect/ESI/runtime/loopback.mlir,15,circt-opt;other,.mlir,direct
ad277c6bdbff,2025-12-11,1,[FIRRTL] Fix Dedup issue caused by name shadowing (#9336),lib/Dialect/FIRRTL/Transforms/Dedup.cpp,test/Dialect/FIRRTL/dedup.mlir,1,circt-opt,.mlir,direct
bf970671340c,2025-12-05,1,[ExportVerilog] Fix union emission error,lib/Conversion/ExportVerilog/ExportVerilog.cpp,test/Conversion/ExportVerilog/hw-dialect.mlir,1,circt-opt,.mlir,direct
3777d1550908,2025-12-02,1,[HW] Fix array_create and struct_create folding with non-integer attributes.,lib/Dialect/HW/HWOps.cpp,test/Dialect/HW/canonicalization.mlir,1,circt-opt,.mlir,direct
dc45595e7e80,2025-11-28,1,[Synth] Fix crash in AndInverterOp folding with non-integer operands,lib/Dialect/Synth/SynthOps.cpp,test/Dialect/Synth/canonicalizer.mlir,1,circt-opt,.mlir,direct
f5f5a6567ca5,2025-11-27,1,[CombFolds] Fix crash in folding with non-integer attribute operands (#9273),lib/Dialect/Comb/CombFolds.cpp,test/Dialect/Comb/canonicalization.mlir,1,circt-opt,.mlir,direct
fa7eb12bf52d,2025-11-27,1,[SwitchToIf] support multi-result scf.index_switch + add regression test (#9245),lib/Transforms/IndexSwitchToIf.cpp,test/Transforms/switch-to-if.mlir,1,circt-opt,.mlir,direct
61b1c871234e,2025-11-24,1,[MooreToCore] Fix lowering of dynamic extracts of nested arrays (#9257),lib/Conversion/MooreToCore/MooreToCore.cpp,test/Conversion/MooreToCore/basic.mlir,1,circt-opt,.mlir,direct
